City Name,Incorporation Date,1980-2019 Number Annexations,1980-2019 Acreage Annexed,Closest Incorp Year Pop Data,Percent Change Pop (Incorp to 2018),"Government Structure (Council Manager, Strong Mayor Council, Weak Mayor Council, City Commission)",City Type (Charter or General Law),"Population Estimate
 (as of July 1, 2018)",Hispanic or Latino (%),"White alone, Not Hispanic or Latino (%)","Black alone, Not Hispanic or Latino (%)","American Indian and Alaska Native alone, Not Hispanic or Latino (%)","Asian alone, Not Hispanic or Latino (%)","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino (%)","Some other race alone, Not Hispanic or Latino (%)","Two or more races alone, Not Hispanic or Latino (%)","Household Income < $10,000 (%)","Household Income $10,000 - $14,999 (%)","Household income $15,000 to $24,999 (%)","Household Income $25,000 to $34,999 (%)","Household Income $35,000 to $49,999 (%)","Household Income $50,000 to $74,999 (%)","Household Income $75,000 to $99,999 (%)","Household Income $100,000 to $149,999 (%) ","Household Income $150,000 to $199,999 (%)","Household Income $200,000 or more (%)",Household Median income (dollars),Household Mean income (dollars),Percent Democratic,Enterprise Data- Water Services Provided by Other Agencies,No Match- Other Service Ent. Data to City Web data,"Four System Categories (1=City, 2=IOU, 3=SD, 4=Multiple/Mutual/Other City)",Number of System Types for Multiple Systems,Multiple System Types,System Type,Number of Water Systems,Water Systems,% of customers served outside of local jurisdiction boundaries, Has your jurisdiction adopted programs and/or policies to improve water use efficiency?,Retrofit requirements for commercial buildings at re-sale,Retrofit requirements for residential buildings at re-sale,Regulations that prohibit development projects that would result in a net increase in water use,Ordinances for recycled water,Ordinances or landscaping standards,Development standards that require or promote low-impact development (LID),"Residential water use restrictions (e.g., limited landscape watering times)","Commercial water use restrictions (e.g., limited landscape watering times)",Requirements for water metering at residential developments,Number of Sewer Systems,Sewer Systems,Number of Trash Collectors,Trash Services,,Overall Risk Designation,Overall Rank,Overall Points,Liquidity Points,Debt Burden Points,General Fund Reserves Points,Revenue Trends Points,Pension Obligations Points,Pension Funding Points,Pension Costs Points,Future Pension Costs Points,OPEB Obligations Points,OPEB Funding Points,OpRev_2018 (Water),OpExp_2018 (Water),NonOpRev_2018 (Water),NonOpEx_2018 (Water),TransfIn (Water),TransfOut (Water),Total Income (Water) ,Total Transfers In/Out (Water),Total Tranfers / Total Income (Water),OpRev_2018 (Sewer),OpExp_2018 (Sewer),NonOpRev_2018 (Sewer),NonOpEx_2018 (Sewer),TransfIn (Sewer),TransfOut (Sewer),Total Income (Sewer),Total In/Out (Sewer) ,Tranfers / Total Income (Sewer),OpRev_2018 (Solid Waste),OpExp_2018 (Solid Waste),NonOpRev_2018 (Solid Waste),NonOpEx_2018 (Solid Waste),TransfIn (Solid Waste),TransfOut (Solid Waste),Total Income (Solid Waste) ,Transfers In/Out (Solid Waste),Total Tranfers / Total Income (Solid Waste),OpRev_2018 (Electric ),OpExp_2018 (Electric),NonOpRev_2018 (Electric),NonOpEx_2018 (Electric),TransfIn (Electric),TransfOut (Electric ),Total Income (Electric) ,Transfers In/Out (Electric),Total Tranfers / Total Income (Electric),OpRev_2018 (Gas),OpExp_2018 (Gas),NonOpRev_2018 (Gas),NonOpEx_2018 (Gas),TransfIn (Gas),TransfOut (Gas),Total Income (Gas),Transfers In/Out (Gas),% Tranfers to Total Income (Gas),Total # Enterprise Funds (Excluding Water),Total # Enterprise Finds (With Water EF included ),Water EF (Y/N),Binary City Run or No,,City Run Water With NO EF,Water EF with No City Run System,Total Revenue Gov Funds,Total Revenue Proprietary Funds        ,Total Expenditures Gov Funds        ,Total Expenditures Proprietary Funds,Revenues Less Expenditures of Gov Funds,"Income Before Capital Contributions, Transfers, and Special and Extraordinary Items of Proprietary Funds ",Transfers In (Out) Proprietary Funds,Cash and Investments: Governmental Funds ,Cash and Investments: General Fund ,Cash and Investments: Enterprise Funds 
Galt,1946,19,"2,668","1,333",1883.495874,Council-Manager,General Law,26440,43.40,46.60,1.40,0.00,4.70,0.00,0.50,3.30,5,3.8,7.3,8.6,10.3,16,15.5,24,5.5,4.1,73555,86282,54.06,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,California Waste Recovery Systems,,LOW,320,78.72,10,8,27.66,4.38,8.24,3.55,3.61,2.78,10,0.5,3953838,3635435,29223,72494,23083,-372302,275132,-349219,-1.26927802,6921549,7027250,89714,800381,28882,-676743,-816368,-647861,0.793589411,2000417,1883894,21573,0,NULL,-158702,138096,-158702,-1.149215039, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,24583509,13423442,26456653,14788226,-1873144,-1364784,-1207982,26142951,9418839,22721786
Garden Grove,1956,10,196,"84,238",104.95026,Council-Manager,General Law,172646,37.00,19.80,0.90,0.30,40.40,0.20,0.10,1.40,4.7,4.4,9.1,8.5,11,18.6,14.4,16.4,6.9,6.1,65591,82954,42.76,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated (Garden Grove Sanitary District but maintained by City Public Works Dept),1,Garden Grove Disposal (contracted by Garden Grove Sanitary District),,MODERATE,74,53.26,10,12.5,9.28,3.75,2.16,3.35,2.22,0,10,0,35594886,33515232,351981,1825695,NULL,-80857,605940,-80857,-0.1334406,10467362,6688811,174142,1161711,NULL,-300000,2790982,-300000,-0.10748905,2369356,1884525,91011,0,NULL,-200000,575842,-200000,-0.347317493, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,138000000,144000000,134000000,146000000,4139005,-1822843,-1572484,50149623,30594736,66120085
Gardena,1930,3,377,"5,909",910.6786258,Council-Manager,General Law,59721,38.60,9.70,22.80,0.10,24.50,1.10,0.70,2.40,7.1,4.9,9.2,10.9,13.8,17.6,12.7,13.9,5,4.8,55351,72514,58.88,,,2,,,2,1,GSWC,#REF!,,,,,,,,,,,1,City operated (GSWC collects fees on behalf of city),1,Waste Resources of Gardena,,MODERATE,123,58.46,10,12,16.97,2.75,4,3.6,2.5,0.56,6.08,0, , , , , , ,,,,1790296,1459770,8999,0,NULL,-38632,339525,-38632,-0.11378249,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,62973845,38923063,64466611,42272733,-1492766,-3349670,-38632,33875408,21155757,5755850
Gilroy,1870,53,"4,939","1,625",3515.753846,Council-Manager,Charter,58756,58.20,29.80,1.20,0.10,8.40,0.00,0.00,2.30,3.2,2.1,5.1,7.2,9.3,12.8,12.3,20.9,12.6,14.4,94548,114130,79.22,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Recology,,MODERATE,174,63.55,10,8.5,18.72,2.75,5.68,3.45,3.06,1.39,10,0,11117934,9935961,225102,1807,NULL,-1188726,1405268,-1188726,-0.84590697,12720141,10348706,241144,1189682,697198,-750000,1422897,-52802,-0.0371088,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,76060473,46626886,65438602,44457762,10621871,2169124,2155472,80177369,25195718,43566986
Glendale,1906,2,1,"2,746",7232.884195,Council-Manager,Charter,201361,18.20,62.00,1.50,0.20,15.30,0.10,0.10,2.60,5.2,7,11.5,8,10,15.6,11,14.7,7.2,9.8,62531,90698,65.48,Y,2,1,,,1,1,City operated (potentially extends service since water rates say they apply to 'City of Glendale and annexed territories'),#REF!,Yes,,,,,1,1,1,1,1,1,City operated,31,City operated with open permitting system for haulers (currently 31 permitted haulers 2019-2020) but still looks like City does collection?,,MODERATE,150,60.72,10,11.08,12.63,3.38,5.36,3.55,3.33,1.39,10,0,53130896,45674543,229229,3217852,NULL,NULL,4467730,,,13965120,20575631,121914,0,NULL,NULL,-6488597,,,22469225,21045220,174273,0,NULL,-1150000,1598278,-1150000,-0.719524388,225000000,184000000,1630754,6452658,NULL,-20000000,36178096,-20000000,-0.55282069, , , , , , ,,,,3,4,1,1,0,,,331000000,420000000,309000000,378000000,22603856,41722378,-21000000,333000000,106000000,203000000
Glendora,1911,57,"2,734","2,028",2464.201183,Council-Manager,General Law,52002,33.90,49.20,1.90,0.50,10.40,0.20,0.30,3.60,2.7,3.2,5.7,6.3,9.9,13.7,12.1,24,10.1,12.3,92674,116027,62.57,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,1,1,1,1,1,County operated (Los Angeles County Consolidated Sewer Maintenance District),1,Athens Services,,MODERATE,187,64.67,10,12.08,17.25,3.13,4.4,3.65,3.33,0.83,10,0,20783257,12536262,-19027,743010,NULL,-34914,7484958,-34914,-0.00466456,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,1,1,1,0,,,36887743,27443225,37510391,19876944,-622648,7566281,10057,30485488,12948288,23381493
Goleta,2002,0,,"29,888",3.121654176,Council-Manager,General Law,30821,34.70,51.80,2.20,0.10,8.00,0.10,0.30,2.80,3.5,3.6,4.7,4.9,11.2,14.3,11.9,22.5,12.2,11.1,91174,107678,43.44,,,3,,,5,1,Goleta Water District,#REF!,Yes,,,,,1,1,,,,1,Goleta West Sanitary District,1,Marborg Industries,,LOW,443,91.39,10,15,30,3.13,10,4.1,4.72,4.44,10,0, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,40351974,NULL,46970159,NULL,-6618185,0,NULL,52320059,16505249,
Gonzales,1947,11,503,"1,821",360.2965404,Council-Manager,General Law,8382,92.20,4.80,0.40,0.10,2.00,0.30,0.00,0.20,3.5,2.5,5.2,11.7,18.3,20,16,11.2,9.5,2,62321,72287,66.95,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Tri-Cities Disposal and Recycling,,LOW,304,77.7,9.35,11.41,15.39,5,10,4.05,4.17,3.33,10,5,1642726,1465930,261293,54991,NULL,-58322,383098,-58322,-0.15223781,1081107,1737454,32342,0,NULL,-60000,-624005,-60000,0.096153076,1384418,1148714,0,0,NULL,-145216,235704,-145216,-0.616094763, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,10112388,4431150,13247435,4596659,-3135047,-165509,-263538,5298614,966261,5060694
Grand Terrace,1978,0,,"8,498",48.08190162,Council-Manager,General Law,12584,50.30,36.10,4.40,0.00,5.90,0.50,0.10,2.70,3.7,3.4,5.6,6.3,15.9,22.1,14.6,15.8,9.8,2.8,66912,80118,79.50,,,3,,,3,1,Riverside Highland Water Company,#REF!,,,,,,,,,,,1,City of Colton ,1,Burrtec Waste Services,,MODERATE,97,55.96,5.7,15,4.1,3.63,7.36,3.5,3.61,3.06,10,0, , , , , , ,,,,0,88570,17944,0,NULL,NULL,-70626,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,9297284,17944,7089495,88570,2207789,-70626,NULL,5517104,1897340,578024
Grass Valley,1893,59,"1,354","4,719",173.6596737,Council-Manager,Charter,12914,12.30,80.70,0.40,2.20,1.50,0.00,0.00,2.90,9.4,11.2,11.2,17.3,14.4,15.7,8,9.4,1.1,2.3,35662,54974,47.97,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Waste Management,,LOW,275,73.91,10,11.75,23.61,2.63,6.72,3.65,3.61,1.94,10,0,2151964,1814667,104357,112439,NULL,NULL,329215,,,5611877,4451489,2103177,333182,NULL,NULL,2930383,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,21830863,9972415,19003230,8419660,2827633,1552755,-18070,16071165,9501119,9647800
Greenfield,1947,17,803,"1,309",1248.204736,Council-Manager,General Law,17648,91.80,6.30,1.10,0.00,0.20,0.00,0.10,0.40,1.3,3.2,12.4,11.3,19.1,19.7,17,11.4,2.8,1.8,53275,63828,50.41,,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Tri-Cities Disposal and Recycling,,MODERATE,206,66.9,5.65,11.83,9.18,3.38,10,3.8,4.17,3.89,10,5,2033010,1191165,34073,136513,NULL,-63908,739405,-63908,-0.08643166,1491032,1538981,16946,55979,NULL,-156831,-86982,-156831,1.803028213,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,12969331,3575061,12269381,2922638,699950,652423,-220739,15147687,963277,5710809
Gridley,1905,30,496.3,987,570.0101317,Council-Manager,General Law,6613,44.30,50.10,0.20,0.20,3.10,0.00,0.00,2.10,3,11.2,13.4,10.3,16.1,23.9,11.6,9.4,0.6,0.5,45541,52514,80.43,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Waste Management,,LOW,352,82.43,10,14.08,30,2.88,6.8,3.4,3.33,1.94,10,0,1108716,1743760,6910,5766,NULL,NULL,-633900,,,1479250,2143585,9545,95760,NULL,NULL,-750550,,,0,22,0,0,NULL,NULL,-22,,,7880499,6684833,49111,-235,NULL,-1500000,1245012,-1500000,-1.204807665, , , , , , ,,,,3,4,1,1,0,,,4254522,10653929,5468493,10894571,-1213971,-240642,-1500000,6594459,4858839,7704354
Grover Beach,1959,1,0,"5,210",159.6545106,Council-Manager,General Law,13528,31.50,58.60,2.50,0.70,3.60,0.50,0.00,2.60,3.7,4.2,7.7,7.2,12.1,22.3,15.8,17.6,4.4,5.1,68333,80559,45.31,N,,1,,,1,1,City operated (contract out for water/sewer engineering city engineer),#REF!,Yes,,,,,1,1,,,,1,City operated (collection only then pass through rate to South San Luis Obispo County Sanitation District) ,1,South County Sanitary Service (part of San Luis Garbage with 4 other related companies that serve SLO county),,MODERATE,199,66.09,9.9,10.16,11.14,3.25,7.44,3.65,3.33,2.22,10,5,3290282,3508523,748,80763,46337,-308007,-298256,-261670,0.877333566,2781150,2742237,22467,21272,NULL,-148653,40108,-148653,-3.70631794,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,11125347,6147232,19978155,6378926,-8852808,-231694,-410323,22831768,2033360,3569655
Guadalupe,1946,2,147,"2,429",213.9151914,Council-Manager,General Law,7625,90.40,5.10,0.50,0.00,2.80,0.00,0.00,1.30,3.5,3.9,11,19.1,18.5,17.9,9.6,13.9,2.1,0.5,45361,56653,50.80,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Waste Management,,MODERATE,48,49.28,0,13.83,0,5,9.6,3.9,3.89,3.06,10,0,2185208,1778497,19698,52124,NULL,-280596,374285,-280596,-0.7496854,2207055,1294625,6525,41640,NULL,-194496,877315,-194496,-0.2216946,77128,0,0,0,NULL,NULL,77128,,, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,5157185,4994559,5545266,3738571,-388081,1255988,-510084,2664603,522318,1288936
Gustine,1915,8,235.9,716,717.7374302,Council-Manager,General Law,5855,59.60,39.50,0.00,0.50,0.20,0.00,0.00,0.30,1.6,7.1,9.7,13.8,17.1,20.3,12.5,10.7,4,3.1,50671,77444,72.96,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Gilton Solid Waste Management,,MODERATE,48,49.28,0,13.83,0,5,9.6,3.9,3.89,3.06,10,0,1053837,714858,0,49249,NULL,NULL,289730,,,1404649,880788,0,41879,NULL,NULL,481982,,,485812,457246,0,0,NULL,NULL,28566,,, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,3309817,3169912,4646918,2362172,-1337101,807740,NULL,3726114,404938,3896377
Half Moon Bay,1959,1,4,"1,957",562.9024016,Council-Manager,General Law,12973,29.20,60.90,0.10,0.00,7.10,1.10,0.10,1.30,2.8,1.5,5,5.8,9.3,11.6,7.8,15.4,16,24.8,122691,166872,47.57,,,3,,,5,1,Coastside County Water District,#REF!,Yes,,,,,1,,,,,2,City operated and Granada Sanitary District,1,Republic Services,,LOW,398,86.53,10,12.25,27.46,2.63,8.64,3.65,4.17,3.33,10,4.4, , , , , , ,,,,4261126,4757056,195743,369126,NULL,-488087,-669313,-488087,0.729235798,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,20110639,4534702,32567019,6735448,-12000000,-2200746,986020,39481912,9210883,14629223
Hanford,1891,51,"4,566","2,929",1842.983954,Council-Manager,General Law,56910,49.70,37.30,4.70,0.40,4.90,0.30,0.20,2.50,5,5.4,7.5,10.9,13.4,17.2,15.3,15.8,5.3,4.3,61647,77547,72.38,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,City operated (and extend to designated county areas),,MODERATE,106,56.96,10,10.83,9.75,3.38,5.92,3.75,1.94,1.39,10,0,10910431,5320205,86995,734767,9078024,-8921032,4942454,156992,0.031763978,6383042,4436484,776103,752751,4732410,-4744958,1969910,-12548,-0.00636983,7662526,8577494,16643,3596,610065,-600000,-901921,10065,-0.011159514, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,40524073,34810697,39066635,28188740,1457438,6621957,2923302,29253370,9233532,29589871
Hawaiian Gardens,1964,0,,"9,052",58.14184711,Council-Manager,General Law,14315,76.60,6.20,5.40,0.00,10.30,0.00,0.40,1.10,5.8,7.8,17.6,10.4,12.1,21.6,9.9,11,2.1,1.6,44792,55074,39.79,,,2,,,2,1,GSWC,#REF!,,,,,,,,,,,1,County operated (Los Angeles County Consolidated Sewer Maintenance District),1,Waste Resources Inc.,,LOW,421,89.55,10,15,30,2.38,8.8,3.7,3.61,3.06,10,3, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,22511085,NULL,26285235,NULL,-3774150,0,NULL,25730512,23365604,
Hawthorne,1922,14,256,"6,596",1218.450576,Council-Manager,General Law,86965,53.70,9.50,23.90,0.20,7.80,0.30,0.50,4.00,5.3,5,11.4,11,16.3,19.8,11.2,12.6,4,3.5,50948,67042,78.53,,,2,1,IOU,6,2,"GSWC, California Water Service",#REF!,,,,,,,,,,,1,City operated,1,Republic Services,,MODERATE,52,50.04,10,13.91,10.26,3.25,2.24,3.6,2.78,0.56,3.44,0, , , , , , ,,,,1529185,2342547,0,0,NULL,NULL,-813362,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,108000000,9797962,95392840,10450930,12560581,-652968,NULL,41578130,18843249,2813999
Hayward,1876,47,"4,436","1,231",12866.69374,Council-Manager,Charter,159620,40.80,16.90,9.90,0.40,25.60,2.10,0.20,4.20,3.5,3,6.2,6.3,9.5,18.5,14.9,20,9.3,8.9,80093,99194,81.66,N,1,4,2,"City Run, Special District",6,2,"City operated (most), East Bay Municipal Utility District",#REF!,Yes,,,,1,1,1,,,1,2,City operated (most) and Oro Loma Sanitary Sewer System and some private septic monitored by Alameda County Environmental Health,2,Waste Management (and some properties serviced by Oro Loma Sanitary),,MODERATE,44,48.61,10,12.25,6.53,3.75,1.6,3.15,2.22,0,8.96,0.15,59385204,51973393,466551,110631,410307,-1917293,7767731,-1506986,-0.19400595,26362741,19071105,535940,691720,943000,-1633964,7135856,-690964,-0.09682987,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,194000000,120000000,206000000,109000000,-12000000,11187089,4501297,102000000,46061485,161000000
Healdsburg,1867,17,914.8,959,1162.148071,Council-Manager,General Law,12104,30.00,65.50,0.00,0.20,1.40,0.00,0.20,2.70,2.5,3.4,5.3,6.5,9.9,15.2,11.8,17.8,12.5,15.1,90300,130296,79.53,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,1,,,,1,City operated,1,Recology,,MODERATE,205,66.56,10,9.58,17.68,3.63,6.24,3.6,3.61,2.22,10,0,5517138,4797191,46138,383848,NULL,NULL,382237,,,8157569,6405270,122627,926359,NULL,-115778,948567,-115778,-0.12205569,,,,,,,,,,13217836,11039113,215048,37121,NULL,-136697,2356650,-136697,-0.058004795, , , , , , ,,,,2,3,1,1,0,,,20610975,31766000,27412048,28024641,-6801073,3741359,141306,11917502,5820836,44078487
Hemet,1910,61,12592.2,992,8496.270161,Council-Manager,General Law,85275,43.30,42.50,7.20,0.80,3.40,0.30,0.10,2.40,8.5,7.7,15.2,13.3,16.4,17.7,9.7,7.6,2.5,1.3,39179,52374,73.49,N,1,4,2,"City Run, Special District",6,3,"City operated (majority), Eastern Municipal Water District, Lake Hemet Municipal Water District",#REF!,Yes,,,,,1,,,,,1,City operated,1,CR&R Environmental Services,,MODERATE,41,47.78,10,15,7.9,3.25,1.2,3.35,1.67,0,5.36,0.05,10683148,12052310,21091,0,137632,-276113,-1348071,-138481,0.102725302,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,1,1,1,0,,,65998230,25161456,61537457,24068720,4460773,1092736,207450,60055079,15756470,10529096
Hercules,1900,4,1360.8,279,9075.985663,Council-Manager,General Law,25601,14.90,17.90,14.90,0.10,45.80,0.60,0.30,5.40,1.8,1.9,4.1,2.8,7.2,13.9,11.2,25.5,17,14.6,110476,129048,43.16,,,3,,,5,1,East Bay Municipal Utility District,#REF!,,,,,,,,,,,1,City operated,1,Republic Services,,LOW,354,82.6,10,7.16,30,3.13,8.64,3.6,3.61,3.06,10,3.4, , , , , , ,,,,6145215,3022191,200280,728070,NULL,NULL,2595234,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,26465933,7433732,21301772,5056749,5164161,2376983,NULL,21603316,12955172,19152186
Hermosa Beach,1907,0,,679,2766.715758,Council-Manager,General Law,19465,9.80,77.20,1.30,0.80,6.20,0.00,0.30,4.30,2.9,1.7,2.9,2.8,4.9,10.3,11.3,16.8,12.9,33.5,137188,198769,80.24,,,2,,,2,1,California Water Service,#REF!,Yes,,,,,,1,1,1,,1,City operated,1,Athens Services,,MODERATE,130,59.13,10,12.66,9.13,2.88,3.44,3.6,3.89,0.83,10,2.7, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,45003652,4649318,39312993,6235392,5690659,-1586074,2643484,31112359,9359022,NULL
Hesperia,1988,11,"14,786","50,418",88.96822563,Council-Manager,General Law,95274,57.90,33.10,4.70,0.70,2.00,0.10,0.10,1.40,6.3,5.4,12.5,9.7,12.9,19.6,14.8,13,3.7,2.3,53402,64696,64.18,,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Advance Disposal,,MODERATE,156,61.51,10,11,6.31,2.88,9.28,3.7,4.17,4.17,10,0,17197681,19369242,6406298,710213,NULL,NULL,3524524,,,4206723,4022677,91981,0,NULL,NULL,276027,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,58594425,27902683,56226119,24102132,2368306,3800551,NULL,32310306,4173461,6536852
Hidden Hills,1961,3,120,"1,529",24.13342054,Council-Manager,General Law,1898,7.80,87.40,0.00,0.00,4.00,0.00,0.20,0.70,2.4,1.5,3.5,2.2,7.5,7.2,1.7,7.5,12.3,54.2,216786,382502,40.47,,,3,,,5,1,Las Virgenes Municipal Water District,#REF!,,,,,,,,,,,1,County operated (Los Angeles County Consolidated Sewer Maintenance District),1,Waste Management GI Industries,,LOW,436,90.71,10,15,30,3,10,4.1,4.44,4.17,10,0, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,5054560,NULL,4139374,NULL,915186,0,NULL,10079864,9810093,
Highland,1987,4,"3,361","34,439",60.8815587,Council-Manager,General Law,55406,53.10,27.10,7.90,0.40,7.90,1.10,0.20,2.30,5,5.3,11.7,10,10.4,17.1,9.2,17.1,7.6,6.6,59395,82207,58.08,,,3,,,5,1,East Valley Water District,#REF!,,,,,,,,,,,1,East Valley Water District,1,Burrtec Waste Services,,LOW,399,86.8,10,15,25.26,4.13,10,3.8,4.44,4.17,10,0, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,36200679,472565,28090858,614515,8109821,-141950,NULL,63944622,11483013,NULL
Hillsborough,1910,6,19.9,931,1129.215897,Council-Manager,General Law,11444,4.10,58.80,1.00,0.00,30.90,0.00,0.40,4.70,2.2,0,2.4,2.8,1.4,4.1,2.5,12.6,10.4,61.7,"250,000+",430681,53.07,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,,1,,,1,City operated,1,Recology,,LOW,355,82.65,10,9.58,30,3,8.56,3.7,3.89,2.78,9.84,1.3,14702348,12530354,156199,553056,NULL,NULL,1775137,,,11187404,9968834,77774,735560,1600000,NULL,560784,1600000,2.853148449,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,28637712,28176920,26023662,24255989,2614050,3920931,1738000,30319561,27255659,22578202
Hollister,1872,99,"2,325","1,034",3744.197292,Council-Manager,General Law,39749,67.40,27.30,0.70,0.50,2.30,0.20,0.20,1.50,1.6,3.9,5.3,6.7,11.7,18.2,15.2,22,10.2,5.1,78621,91390,63.04,Y,,4,2,"City Run, Special District",6,2,City operated (half) and Sunny Slope County Water District,#REF!,,,,,,,,,,,1,City operated,1,Recology,,MODERATE,65,52.28,5.6,5.66,9.34,3.75,7.84,3.7,3.61,2.78,10,0,7165932,8194232,10914,0,NULL,NULL,-1017386,,,19955776,11155032,51807,2528251,NULL,-76966,6324300,-76966,-0.01216988,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,37663766,28673052,34282679,24471386,3381087,4201666,-189080,36695346,7942772,20375977
Holtville,1908,11,52.8,729,816.0493827,Council-Manager,General Law,6678,82.70,15.80,0.50,0.00,0.00,0.00,0.00,1.00,10.2,14.9,13.6,1.6,14,21.1,7.3,15.1,0,2.1,44301,56180,64.70,N,,1,,,1,1,City operated,#REF!,Yes,,,,,,1,1,1,1,1,City operated,1,CR&R Environmental Services,,MODERATE,65,52.28,5.6,5.66,9.34,3.75,7.84,3.7,3.61,2.78,10,0,1575115,961824,1356,198136,NULL,-125000,416511,-125000,-0.30011212,1499850,1098397,21698,153083,466,-125000,270068,-124534,-0.4611209,253561,237134,0,0,NULL,NULL,16427,,, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,4998217,3351580,3926378,2648574,1071839,703006,-249534,4779414,2347265,NULL
Hughson,1972,15,627,"2,943",156.5749235,Council-Manager,General Law,7551,32.60,59.10,0.70,0.90,5.70,0.40,0.50,0.10,5.9,3.7,8,12.8,6.7,13.1,16.2,18.4,9.4,5.6,74659,85647,64.95,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,1,1,,1,1,City operated,1,Gilton Solid Waste Management,,LOW,329,80.12,10,0.17,30,3.13,9.84,3.65,4.44,3.89,10,5,1898934,1043562,3693,45718,154597,-159597,813347,-5000,-0.00614744,3751675,2289191,19147,134208,2217092,-2222092,1347423,-5000,-0.00371079,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,4618406,5708199,3879425,3596109,738981,2112090,21380,8064095,3258181,10619009
Huntington Beach,1909,5,240.6,815,24518.52761,Council-Manager,Charter,200641,20.00,61.80,1.30,0.40,11.90,0.30,0.40,3.80,3.4,2.6,5.8,5.9,8.3,14.3,14.1,20.8,10.4,14.3,91318,119476,36.45,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,1,1,,1,1,City operated,1,Republic Services,,MODERATE,89,55.5,10,13.66,9.59,2.63,0.8,3.4,1.67,0,10,3.75,29530745,28414319,252617,0,10929,NULL,1369043,10929,0.007982949,8361587,6126681,25692,0,NULL,NULL,2260598,,,8820802,8917508,126,0,48183,NULL,-96580,48183,-0.49889211, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,208000000,67360978,187000000,53076545,21866059,14284433,331112,130000000,64404865,53453206
